,ID,Type,License,Name,Address,City,State,Something,Phone
0,02D0640755,Independent,Compliance,Laboratory Corporation Of America,"4015 Lake Otis Parkway, Suite 100",Anchorage,AK,99508,(907) 561-7666
1,02D0640756,Independent,Compliance,Quest Diagnostics,4120 Laurel Street,Anchorage,AK,99508-4130,(907) 561-7245
2,02D1037431,Independent,Accreditation,Pathology Associates Arh Laboratory,2801 Debarr Road,Anchorage,AK,99508,(907) 770-2887
3,02D2130734,Independent,Compliance,Interpath Laboratory Anchorage,"188 W Northern Lights Blvd, Suite 600",Anchorage,AK,99503,(907) 644-1028
4,02D2147419,Independent,Registration,Northwest Medical Diagnostic Laboratory LLC,"188 W Northern Lights Blvd, Suite 600",Anchorage,AK,99503,(360) 520-9512
5,02D0671921,Independent,Compliance,Kuparuk Medical Clinic,Koc Spine Road,Prudhoe Bay,AK,99734,(907) 659-7230
6,02D0969249,Independent,Compliance,Alpine Medical Clinic,Alpine Pad,Prudhoe Bay,AK,99734,(907) 670-4100
7,02D0641234,Independent,Compliance,Quest Diagnostics,1919 Lathrop St Suite 125,Fairbanks,AK,99701,(907) 452-1658
8,02D2043058,Independent,Accreditation,Cellnetix Pathology/Palmer,2490 S Woodworth Loop Suite 410,Palmer,AK,99645,(206) 576-6132
9,02D0959385,Independent,Accreditation,Peninsula Pathology Institute,44455 Sterling Highway,Soldotna,AK,99669,(907) 262-3557
10,01D1057320,Independent,Compliance,Laboratory Corporation Of America Holding,217 Dothan Road,Abbeville,AL,36310-2836,(334) 585-9848
11,01D0641487,Independent,Compliance,Cytopath Inc,1004 First Street North,Alabaster,AL,35007,(205) 664-9797
13,01D0641706,Independent,Compliance,Labcorp Of America Holdings,1010 Christine Avenue Suite 100,Anniston,AL,36207,(256) 238-6323
14,01D2090345,Independent,Compliance,Northeast Alabama Pathology LLC,171 Town Center Drive Suite 1b,Anniston,AL,36205,(254) 241-5450
15,01D2170323,Independent,Compliance,Laboratory Corporation Of America Holdings,171 Town Center Drive  Suite 6,Anniston,AL,36207,(256) 847-2431
16,01D2144376,Independent,Compliance,Cytopath At Uab West,995 9th Avenue Sw,Bessemer,AL,35022,(205) 481-7185
17,01D0301471,Independent,Accreditation,Laboratory Corporation Of America Holding,1801 First Ave South,Birmingham,AL,35233,(205) 581-3500
18,01D0641549,Independent,Compliance,Uab Ob/Gyn Research And Diagnostic Laboratory,Attention  Gelnda Corley-Topham,Birmingham,AL,35233,(205) 934-5271
20,01D2069487,Physician Office,Compliance,Rich and Rondi lab,331 Parks Ave Suite B,Scottsboro,AL,35768,(256) 218-3022
21,01D2027938,Independent,Accreditation,Trump Holdings,315 West Hickory Street,Sylacauga,AL,35150,(256) 401-4160
22,01A2159731,Independent,Compliance,By some medison,117 N Chalkville Road,Trussville,AL,35173,(205) 848-2273
23,01Z0301038,Independent,Compliance,University of Essex Medical Center,850 Peter Bryce Blvd,Tuscaloosa,AL,35401,(205) 348-1222
24,01X1060994,Independent,Compliance,University of Wyoming labs,300 Towncenter Blvd  Suite D,Tuscaloosa,AL,35406,(205) 752-2367
25,01Y2000676,Independent,Compliance,Bob and Mary LTD,1406 Mcfarland Blvd  Suite 1-A,Tuscaloosa,AL,35406,(205) 759-4507
